,관리번호,급경사지명,시행청명,관리주체구분,시도,시군구,상세주소,도로명상세주소,산주소여부,주지번,부지번,lat,lon
4199,1138000043,불광사(북한65-00-01),북한산국립공원사무소,국립공원공단,서울특별시,은평구,,,Y,42,1,37.62332,126.936589
4200,1138000002,인공비탈,공공기관,지자체(시군구),서울특별시,은평구,,,N,226,2,37.6307091,126.923351
4201,1138000011,인공비탈,은평구청,지자체(시군구),서울특별시,은평구,은평구민체육센터,,,362,0,37.6307091,126.923351
4202,1138000041,삼천사계곡(북한59-01-01),북한산국립공원사무소,국립공원공단,서울특별시,은평구,삼천사하단~응봉방면,,Y,34,,37.6393756,126.956006
4203,1138000042,삼천사계곡(북한58-00-02),북한산국립공원사무소,국립공원공단,서울특별시,은평구,삼천사하단 미타교,,Y,34,,37.6393756,126.956006
4204,1138000044,산성지구(북한51-00-01),북한산국립공원사무소,국립공원공단,서울특별시,은평구,북한산성분소~역사관,,,259,8,37.6541765,126.950875
4205,1138000040,산성지구(북한57-00-01),북한산국립공원사무소,국립공원공단,서울특별시,은평구,백화사~가사당암문방면,,Y,25,,37.6503808,126.945144
4206,1138000045,산성지구(북한51-00-02),북한산국립공원사무소,국립공원공단,서울특별시,은평구,북한산성분소~역사관,,,259,,37.6541765,126.950875
4207,1138000046,산성지구(북한57-01-01),북한산국립공원사무소,국립공원공단,서울특별시,은평구,백화사~가사당암문,,Y,25,,37.6503808,126.945144
4208,1138000047,산성지구(북한58-00-01),북한산국립공원사무소,국립공원공단,서울특별시,은평구,삼천탐방지원센터 상단,,Y,32,,37.6433971,126.942849
